"REGION","Disposable_Income","Year"
1,177084.033333333,"2000"
1,184665.922222222,"2001"
1,192364.144444444,"2002"
1,198596.877777778,"2003"
1,208179.711111111,"2004"
1,213357.433333333,"2005"
1,226112.344444444,"2006"
1,238219.555555556,"2007"
1,247891.222222222,"2008"
1,252763.922222222,"2009"
1,261717.611111111,"2010"
1,270840.377777778,"2011"
1,281831.344444444,"2012"
1,278572.3,"2013"
1,288591.6,"2014"
1,299483.922222222,"2015"
1,310654.255555556,"2016"
1,325586.222222222,"2017"
1,341116.288888889,"2018"
1,354637.611111111,"2019"
1,378656.222222222,"2020"
1,397053.677777778,"2021"
1,388295.088888889,"2022"
2,138570.15,"2000"
2,143884.733333333,"2001"
2,148916.608333333,"2002"
2,155017.891666667,"2003"
2,162232.758333333,"2004"
2,166019.883333333,"2005"
2,173994.825,"2006"
2,181793.241666667,"2007"
2,190457.95,"2008"
2,189184.633333333,"2009"
2,194985.183333333,"2010"
2,204701.191666667,"2011"
2,213739.266666667,"2012"
2,214417.725,"2013"
2,222947.316666667,"2014"
2,230861.775,"2015"
2,235096.008333333,"2016"
2,244114.841666667,"2017"
2,256935.525,"2018"
2,265311.9,"2019"
2,285832.8,"2020"
2,305815.833333333,"2021"
2,306486.475,"2022"
3,144465.123529412,"2000"
3,152605.947058824,"2001"
3,159953.847058824,"2002"
3,168576.423529412,"2003"
3,179661.788235294,"2004"
3,190139.652941176,"2005"
3,203561.341176471,"2006"
3,214067.552941176,"2007"
3,226152.123529412,"2008"
3,224781.447058824,"2009"
3,234716.2,"2010"
3,246826.341176471,"2011"
3,258041.511764706,"2012"
3,258049.394117647,"2013"
3,272036.129411765,"2014"
3,281650.711764706,"2015"
3,288195.647058823,"2016"
3,303157.494117647,"2017"
3,322361.929411765,"2018"
3,337642.488235294,"2019"
3,360339.647058823,"2020"
3,393294.047058824,"2021"
3,400159.276470588,"2022"
4,128652.2,"2000"
4,136097.369230769,"2001"
4,142925.007692308,"2002"
4,150680.907692308,"2003"
4,160511.1,"2004"
4,168060.4,"2005"
4,180960.461538462,"2006"
4,189966.884615385,"2007"
4,196653.6,"2008"
4,195459.276923077,"2009"
4,202003.138461538,"2010"
4,212164.4,"2011"
4,223863.030769231,"2012"
4,224642.330769231,"2013"
4,238217.738461538,"2014"
4,251859.015384615,"2015"
4,262391.061538462,"2016"
4,276789.192307692,"2017"
4,292983.2,"2018"
4,310076.892307692,"2019"
4,337838.969230769,"2020"
4,363275.023076923,"2021"
4,362282.292307692,"2022"
