"REGION","Population","Year"
1,5962921.66666667,"2000"
1,5990613.55555556,"2001"
1,6015990.55555556,"2002"
1,6037161.44444444,"2003"
1,6047059.22222222,"2004"
1,6050136.66666667,"2005"
1,6058073.22222222,"2006"
1,6072595.77777778,"2007"
1,6097325.11111111,"2008"
1,6125900.11111111,"2009"
1,6151226.22222222,"2010"
1,6178247,"2011"
1,6197246.22222222,"2012"
1,6211311.77777778,"2013"
1,6222890.11111111,"2014"
1,6226076,"2015"
1,6226925.55555556,"2016"
1,6228804.44444444,"2017"
1,6227402.22222222,"2018"
1,6220311.44444444,"2019"
1,6381164.11111111,"2020"
1,6360380.33333333,"2021"
1,6336316.33333333,"2022"
1,6331501.88888889,"2023"
2,5374285.91666667,"2000"
2,5398044.25,"2001"
2,5418191.08333333,"2002"
2,5439746.16666667,"2003"
2,5461025.41666667,"2004"
2,5479322.66666667,"2005"
2,5502379.58333333,"2006"
2,5524474.08333333,"2007"
2,5543661.25,"2008"
2,5562369.75,"2009"
2,5581320.66666667,"2010"
2,5596483.33333333,"2011"
2,5611395.25,"2012"
2,5630031.58333333,"2013"
2,5645430.58333333,"2014"
2,5655048.58333333,"2015"
2,5665628.33333333,"2016"
2,5677231.75,"2017"
2,5686385.66666667,"2018"
2,5694083.66666667,"2019"
2,5747482.83333333,"2020"
2,5737520.5,"2021"
2,5731919,"2022"
2,5742440.25,"2023"
3,5915620.52941176,"2000"
3,5991151.47058824,"2001"
3,6067693.35294118,"2002"
3,6140011.05882353,"2003"
3,6228469.23529412,"2004"
3,6322339.47058824,"2005"
3,6416290.17647059,"2006"
3,6511102.47058824,"2007"
3,6599113.52941176,"2008"
3,6679330.29411765,"2009"
3,6756807.29411765,"2010"
3,6823913.05882353,"2011"
3,6896541.64705882,"2012"
3,6962611.76470588,"2013"
3,7036708.05882353,"2014"
3,7117490.64705882,"2015"
3,7197162.35294118,"2016"
3,7267187.58823529,"2017"
3,7327613.70588235,"2018"
3,7387085.17647059,"2019"
3,7439134.17647059,"2020"
3,7491369.52941176,"2021"
3,7570707.64705882,"2022"
3,7654428.82352941,"2023"
4,4879933.53846154,"2000"
4,4955948.23076923,"2001"
4,5024015.23076923,"2002"
4,5085872.15384615,"2003"
4,5151191,"2004"
4,5217978.92307692,"2005"
4,5288597.30769231,"2006"
4,5353493.38461538,"2007"
4,5423782.69230769,"2008"
4,5487798.15384615,"2009"
4,5549775.46153846,"2010"
4,5599102.23076923,"2011"
4,5652140.23076923,"2012"
4,5705163.84615385,"2013"
4,5763522.53846154,"2014"
4,5826350.38461538,"2015"
4,5889206.23076923,"2016"
4,5942871.46153846,"2017"
4,5987293.84615385,"2018"
4,6026712.92307692,"2019"
4,6050875.46153846,"2020"
4,6046309.69230769,"2021"
4,6058423.53846154,"2022"
4,6068985,"2023"
